This is Ipopt version trunk, running with linear solver mumps.

Number of nonzeros in equality constraint Jacobian...:   570800
Number of nonzeros in inequality constraint Jacobian.:        1
Number of nonzeros in Lagrangian Hessian.............:   167006

Total number of variables............................:    58455
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    58455
                     variables with only upper bounds:        0
Total number of equality constraints.................:    41755
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  75 5.8039135e+000 1.09e-003 7.26e-002  -4.6 3.66e-001  -1.6 1.00e+000 2.45e-001h  1
  76 5.4576565e+000 9.33e-004 6.92e-002  -5.0 1.28e-001  -1.2 1.00e+000 4.82e-001h  1
  77 5.1720974e+000 1.07e-003 6.06e-002  -5.1 3.13e-001  -1.6 1.00e+000 1.64e-001h  1
  78 4.8647397e+000 9.42e-004 8.13e-002  -5.1 1.19e-001  -1.2 1.00e+000 4.78e-001h  1
  79 4.5049706e+000 1.33e-003 4.67e-002  -4.8 3.10e-001  -1.7 6.31e-001 2.49e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80 4.2005557e+000 1.20e-003 8.55e-002  -5.4 1.15e-001  -1.3 1.00e+000 4.86e-001h  1
  81 3.9697548e+000 1.35e-003 3.26e-002  -5.0 3.50e-001  -1.7 1.00e+000 1.60e-001h  1
  82 3.8623138e+000 9.18e-004 1.87e-002  -4.5 1.20e-001  -1.3 3.82e-001 3.95e-001h  1
  83 3.6546078e+000 1.11e-003 1.65e-002  -4.7 3.50e-001  -1.8 3.36e-001 1.84e-001h  1
  84 3.4866811e+000 9.33e-004 4.00e-002  -4.7 8.89e-002  -1.4 8.16e-001 4.17e-001h  1
  85 3.2378577e+000 1.37e-003 1.98e-002  -4.5 3.89e-001  -1.9 4.57e-001 3.07e-001h  1
  86 3.0157535e+000 1.27e-003 2.34e-002  -4.8 1.00e-001  -1.4 9.99e-001 5.35e-001h  1
  87 2.7530943e+000 1.94e-003 2.19e-002  -4.8 2.65e-001  -1.9 6.33e-001 2.72e-001h  1
  88 2.4410974e+000 2.03e-003 3.43e-002  -4.8 9.58e-002  -1.5 1.00e+000 8.60e-001h  1
  89 2.2477332e+000 2.20e-003 2.24e-002  -4.5 3.01e-001  -2.0 4.00e-001 3.46e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90 1.9954856e+000 1.99e-003 3.53e-002  -4.8 8.51e-002  -1.5 1.00e+000 8.46e-001h  1
  91 1.8940623e+000 2.38e-003 3.48e-002 -10.8 7.13e-001  -2.0 4.82e-002 1.19e-001h  1
  92 1.6831685e+000 2.00e-003 2.53e-002  -4.9 8.38e-002  -1.6 1.00e+000 7.72e-001h  1
  93 1.5170335e+000 3.60e-003 2.87e-002  -4.7 2.89e-001  -2.1 5.60e-001 4.25e-001h  1
  94 1.3928362e+000 2.11e-003 1.83e-002  -4.8 8.02e-002  -1.6 1.00e+000 7.07e-001h  1
  95 1.3229114e+000 2.28e-003 1.99e-002  -4.8 2.23e-001  -2.1 5.31e-001 1.97e-001h  1
  96 1.1906126e+000 1.60e-003 2.01e-002  -5.1 7.09e-002  -1.7 1.00e+000 7.05e-001h  1
  97 1.1125543e+000 1.76e-003 1.51e-002  -4.8 1.96e-001  -2.2 7.80e-001 3.59e-001h  1
  98 1.0316462e+000 1.22e-003 2.15e-002  -4.9 7.33e-002  -1.7 1.00e+000 8.16e-001h  1
  99 9.1059974e-001 3.67e-003 1.79e-002  -5.1 2.21e-001  -2.2 1.00e+000 4.91e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100 8.5426830e-001 1.97e-003 8.75e-003  -5.0 8.02e-002  -1.8 1.00e+000 6.61e-001h  1
 101 8.1021999e-001 5.81e-003 2.25e-002  -4.8 2.57e-001  -2.3 9.14e-001 4.75e-001h  1
 102 7.6485881e-001 2.28e-003 1.32e-002  -4.9 8.15e-002  -1.8 1.00e+000 8.31e-001h  1
 103 6.8818086e-001 4.32e-003 1.83e-002  -5.6 2.29e-001  -2.3 3.25e-001 3.36e-001h  1
 104 6.3432789e-001 2.53e-003 1.71e-002  -5.3 7.66e-002  -1.9 1.00e+000 7.54e-001h  1
 105 6.2568120e-001 6.94e-003 3.87e-002  -4.8 3.89e-001  -2.4 6.31e-001 2.66e-001h  1
 106 5.6117451e-001 3.27e-003 2.46e-002  -5.3 7.76e-002  -1.9 1.00e+000 9.73e-001h  1
 107 4.8574337e-001 8.51e-003 4.03e-002  -5.3 2.26e-001  -2.4 9.90e-001 5.91e-001h  1
 108 4.7819139e-001 3.77e-003 1.75e-002  -5.0 8.42e-002  -2.0 1.00e+000 6.12e-001h  1
